1324763856710,passion,compassAvailable=true
timestamp,locationmethod,gpserror,latitude,longitude,altitude,speed,heading,horizEPE,vertEPE,nmea,,,,,,compassAccuracy,compassValues,numSats,extras
1324764136000,gps,,45.53639636,-122.70286626,-1.2000000476837158,10.5,1.6,6.708204,,"null",,,,,,0.0625,"-18.8125,-88.3125,-27.375,",9,"Bundle[mParcelledData.dataSize=4]",
1324764137000,gps,,45.5365014,-122.70286994,-0.800000011920929,10.75,0.2,6.708204,,"null",,,,,,0.0625,"-18.5625,-86.0625,-29.375,",10,"Bundle[mParcelledData.dataSize=4]",
1324764138000,gps,,45.53658179,-122.70287329,-0.6000000238418579,10.0,0.3,6.708204,,"null",,,,,,0.0625,"-18.8125,-85.3125,-27.375,",10,"Bundle[mParcelledData.dataSize=4]",
1324764139000,gps,,45.53665902,-122.70287403,-0.5,9.25,1.6,6.708204,,"null",,,,,,0.0625,"-19.5625,-84.5625,-29.375,",10,"Bundle[mParcelledData.dataSize=4]",
1324764140000,gps,,45.53672739,-122.70288457,-0.5,8.5,2.3,8.5440035,,"null",,,,,,0.0625,"-21.75,-86.0625,-29.375,",10,"Bundle[mParcelledData.dataSize=4]",
1324764141000,gps,,45.53676023,-122.70290353,-0.30000001192092896,7.0,357.9,6.708204,,"null",,,,,,0.0625,"-21.5,-85.3125,-29.625,",11,"Bundle[mParcelledData.dataSize=4]",
1324764142000,gps,,45.53678718,-122.70290205,-0.699999988079071,5.25,354.5,6.708204,,"null",,,,,,0.0625,"-23.4375,-85.0625,-29.125,",9,"Bundle[mParcelledData.dataSize=4]",
1324764143000,gps,,45.53680413,-122.70291343,0.0,4.0,347.8,6.708204,,"null",,,,,,0.0625,"-26.4375,-85.8125,-27.625,",10,"Bundle[mParcelledData.dataSize=4]",
1324764144000,gps,,45.53682481,-122.7029078,0.5,3.25,353.1,8.5440035,,"null",,,,,,0.0625,"-28.375,-86.5625,-26.4375,",10,"Bundle[mParcelledData.dataSize=4]",
1324764145000,gps,,45.53683919,-122.70288469,0.30000001192092896,2.75,18.6,6.708204,,"null",,,,,,0.0625,"-34.0,-87.0625,-24.1875,",11,"Bundle[mParcelledData.dataSize=4]",
1324764146000,gps,,45.53682988,-122.70283419,-0.10000000149011612,3.7831864,65.2,4.472136,,"null",,,,,,0.0625,"-41.625,-86.8125,-15.5625,",11,"Bundle[mParcelledData.dataSize=4]",
1324764147000,gps,,45.53684635,-122.70277609,-0.4000000059604645,5.0249376,78.7,4.472136,,"null",,,,,,0.0625,"-42.3125,-87.8125,-11.625,",11,"Bundle[mParcelledData.dataSize=4]",
1324764148000,gps,,45.53685087,-122.70269994,0.0,5.0,80.0,4.472136,,"null",,,,,,0.0625,"-41.125,-89.0625,-10.625,",11,"Bundle[mParcelledData.dataSize=4]",
1324764149000,gps,,45.53685719,-122.70262582,0.10000000149011612,6.269968,86.3,4.472136,,"null",,,,,,0.0625,"-41.375,-87.8125,-9.9375,",11,"Bundle[mParcelledData.dataSize=4]",
1324764150000,gps,,45.53686723,-122.70253768,0.4000000059604645,7.75,88.4,4.472136,,"null",,,,,,0.0625,"-41.125,-88.5625,-10.375,",11,"Bundle[mParcelledData.dataSize=4]",
1324764151000,gps,,45.53686606,-122.70244293,0.10000000149011612,8.764274,89.1,3.6055512,,"null",,,,,,0.0625,"-41.625,-89.0625,-9.6875,",11,"Bundle[mParcelledData.dataSize=4]",
1324764152000,gps,,45.53687434,-122.70233093,-0.10000000149011612,8.75,88.6,3.6055512,,"null",,,,,,0.0625,"-41.125,-88.5625,-11.125,",11,"Bundle[mParcelledData.dataSize=4]",
1324764153000,gps,,45.53687963,-122.70222093,-0.20000000298023224,8.75,87.9,3.6055512,,"null",,,,,,0.0625,"-40.875,-89.0625,-9.9375,",11,"Bundle[mParcelledData.dataSize=4]",
1324764154000,gps,,45.53688462,-122.70210535,-0.20000000298023224,9.0,87.1,4.472136,,"null",,,,,,0.0625,"-42.125,-88.0625,-11.375,",11,"Bundle[mParcelledData.dataSize=4]",
1324764155000,gps,,45.53689693,-122.70198669,-0.20000000298023224,9.5,85.4,4.472136,,"null",,,,,,0.0625,"-40.125,-88.3125,-9.4375,",11,"Bundle[mParcelledData.dataSize=4]",
1324764156000,gps,,45.53689497,-122.70185237,-0.30000001192092896,10.0,86.7,4.472136,,"null",,,,,,0.0625,"-40.875,-89.5,-10.1875,",11,"Bundle[mParcelledData.dataSize=4]",
1324764157000,gps,,45.53689015,-122.70172571,-0.20000000298023224,10.25,87.4,6.3245554,,"null",,,,,,0.0625,"-41.125,-89.25,-11.375,",11,"Bundle[mParcelledData.dataSize=4]",
1324764158000,gps,,45.53689051,-122.70158381,-0.10000000149011612,10.75,89.0,4.472136,,"null",,,,,,0.0625,"-41.375,-89.25,-10.875,",11,"Bundle[mParcelledData.dataSize=4]",
1324764159000,gps,,45.5369004,-122.70144822,-0.5,10.5,87.1,4.472136,,"null",,,,,,0.0625,"-40.875,-89.25,-9.6875,",11,"Bundle[mParcelledData.dataSize=4]",
1324764160000,gps,,45.53689543,-122.70130957,-0.699999988079071,10.25,88.3,6.3245554,,"null",,,,,,0.0625,"-41.375,-89.0625,-9.4375,",11,"Bundle[mParcelledData.dataSize=4]",
1324764161000,gps,,45.53688873,-122.70117286,-1.2999999523162842,10.25,87.5,4.472136,,"null",,,,,,0.0625,"-42.125,-89.25,-9.1875,",11,"Bundle[mParcelledData.dataSize=4]",
1324764162000,gps,,45.53689539,-122.70103933,-1.399999976158142,10.25,87.3,4.472136,,"null",,,,,,0.0625,"-41.875,-89.25,-10.375,",11,"Bundle[mParcelledData.dataSize=4]",
1324764163000,gps,,45.53689789,-122.70088994,-1.5,10.5,87.7,4.472136,,"null",,,,,,0.0625,"-39.125,-90.5,-9.6875,",11,"Bundle[mParcelledData.dataSize=4]",
1324764164000,gps,,45.53690126,-122.70077447,-1.7000000476837158,10.0,88.0,6.3245554,,"null",,,,,,0.0625,"-41.875,-89.0625,-11.625,",11,"Bundle[mParcelledData.dataSize=4]",
1324764165000,gps,,45.5368867,-122.70064223,-1.600000023841858,10.0,90.4,6.3245554,,"null",,,,,,0.0625,"-41.125,-89.5,-11.125,",11,"Bundle[mParcelledData.dataSize=4]",
1324764166000,gps,,45.53688001,-122.70050984,-2.0999999046325684,10.0,91.5,6.3245554,,"null",,,,,,0.0625,"-40.625,-89.0625,-10.625,",11,"Bundle[mParcelledData.dataSize=4]",
1324764167000,gps,,45.53688816,-122.70038866,-2.4000000953674316,9.5,88.8,4.472136,,"null",,,,,,0.0625,"-43.0625,-86.5625,-11.625,",11,"Bundle[mParcelledData.dataSize=4]",
1324764168000,gps,,45.5368838,-122.7002597,-2.5,9.75,88.6,4.472136,,"null",,,,,,0.0625,"-40.125,-89.0625,-10.625,",11,"Bundle[mParcelledData.dataSize=4]",
1324764169000,gps,,45.53688781,-122.70013834,-2.5999999046325684,9.513149,88.0,4.472136,,"null",,,,,,0.0625,"-41.125,-88.3125,-9.4375,",10,"Bundle[mParcelledData.dataSize=4]",
1324764170000,gps,,45.53688432,-122.70001467,-3.9000000953674316,9.0,89.2,4.472136,,"null",,,,,,0.0625,"-41.375,-89.0625,-9.9375,",10,"Bundle[mParcelledData.dataSize=4]",
1324764171000,gps,,45.53688064,-122.69990717,-4.599999904632568,8.75,90.5,3.6055512,,"null",,,,,,0.0625,"-41.875,-88.3125,-8.6875,",10,"Bundle[mParcelledData.dataSize=4]",
1324764172000,gps,,45.53686203,-122.69979625,-6.5,8.75,88.2,3.6055512,,"null",,,,,,0.0625,"-41.125,-86.5625,-8.9375,",11,"Bundle[mParcelledData.dataSize=4]",
1324764173013,network,,45.5373367,-122.7007553,,,,1004.0,,"null",,,,,,0.0625,"-40.875,-86.8125,-9.4375,",,"Bundle[mParcelledData.dataSize=148]",
1324764173000,gps,,45.53685636,-122.69969522,-7.099999904632568,7.75,90.5,3.6055512,,"null",,,,,,0.0625,"-41.875,-87.3125,-9.6875,",11,"Bundle[mParcelledData.dataSize=4]",
1324764174000,gps,,45.53685768,-122.69959926,-7.599999904632568,7.5,90.8,3.6055512,,"null",,,,,,0.0625,"-40.125,-87.3125,-10.375,",11,"Bundle[mParcelledData.dataSize=4]",
1324764175000,gps,,45.53686016,-122.69951098,-7.599999904632568,6.75,91.5,3.6055512,,"null",,,,,,0.0625,"-40.625,-87.0625,-9.6875,",11,"Bundle[mParcelledData.dataSize=4]",
1324764176000,gps,,45.53685275,-122.6994451,-7.5,6.0,94.5,4.472136,,"null",,,,,,0.0625,"-40.625,-86.5625,-9.6875,",11,"Bundle[mParcelledData.dataSize=4]",
1324764177000,gps,,45.53685683,-122.69937955,-7.599999904632568,5.25,93.5,4.472136,,"null",,,,,,0.0625,"-40.625,-86.8125,-10.625,",11,"Bundle[mParcelledData.dataSize=4]",
1324764178000,gps,,45.53684563,-122.69933019,-7.5,4.75,97.2,6.3245554,,"null",,,,,,0.0625,"-39.875,-86.8125,-10.1875,",11,"Bundle[mParcelledData.dataSize=4]",
1324764179000,gps,,45.53684735,-122.69928024,-7.599999904632568,4.5,96.2,6.708204,,"null",,,,,,0.0625,"-39.875,-87.8125,-10.875,",11,"Bundle[mParcelledData.dataSize=4]",
1324764180000,gps,,45.53684321,-122.69923232,-7.699999809265137,3.75,99.2,6.708204,,"null",,,,,,0.0625,"-40.625,-85.8125,-9.6875,",11,"Bundle[mParcelledData.dataSize=4]",
